year,chevron,exxon,shell,conoco
1998,2969825,11060000,3900219,10000
1999,2040000,11969801,4156219,1340812
2000,1680000,7077963,4553670,1235159
2001,1519296,6012249,5461937,878639
2002,4620000,8372729,6262182,1157000
2003,4620000,7660000,4595101,1380000
2004,5220000,7860000,1080320,2670438
2005,9490000,7300000,1638831,5218084
2006,7480000,14540000,2428696,2038291
2007,9030000,16940000,3101164,4089568
2008,12994000,29000000,4460000,8459053
2009,20815000,27610000,10210000,18069858
2010,13130000,12570000,10370000,19626382
2011,9510000,12730000,14790000,20557043
2012,9550000,12970000,14480000,3863736
2013,10530000,13420000,9070000,4242353
2014,8280000,12650000,8420000,3969840
2015,7200000,11980000,8700000,3135583
2016,7470000,11840000,8990000,2498000
2017,9290000,11390000,7920000,3010000
2018,9600000,11150000,8950000,3080000
2019,11650000,9750000,7830000,4870000
2020,8930000,8690000,7270000,4190000
2021,5050000,4430000,5310000,2749800
